full_name,html_url,stars,pushed_at,r_bytes,topics,reasons,commits_2022,buglike_2022,buglike_share_2022,updated_in_2022,passes_thresholds
NBISweden/workshop-mlbiostatistics,https://github.com/NBISweden/workshop-mlbiostatistics,16,2025-06-17T14:19:09Z,479499,biostatistics;biostatistics-course;statistics;statistics-course;statistics-learning;workshop;workshop-materials,extension:Rmd,120,10,8.3,True,True
NickCH-K/introcausality,https://github.com/NickCH-K/introcausality,121,2020-02-07T09:03:20Z,0,,extension:Rmd,0,0,0.0,False,False
PacktPublishing/R-Ultimate-2024---R-for-Data-Science-and-Machine-Learning,https://github.com/PacktPublishing/R-Ultimate-2024---R-for-Data-Science-and-Machine-Learning,12,2025-09-05T11:00:41Z,5711,,extension:Rmd,0,0,0.0,False,False
Pakillo/ReproducibleScience,https://github.com/Pakillo/ReproducibleScience,22,2025-01-12T18:17:44Z,0,reproducibility;reproducible-research;reproducible-science;rmarkdown,extension:Rmd,5,0,0.0,True,False
PhanstielLab/plotgardener,https://github.com/PhanstielLab/plotgardener,335,2025-04-16T20:52:21Z,878026,,extension:Rmd,101,37,36.6,True,True
Polkas/pacs,https://github.com/Polkas/pacs,25,2024-11-06T11:21:42Z,139004,bioconductor;cran;dependencies;library;lifeduration;r;r-package;renv;shiny;tools;utils,extension:Rmd,146,22,15.1,True,True
RConsortium/S7,https://github.com/RConsortium/S7,470,2025-08-27T14:10:26Z,212722,,extension:Rmd,131,61,46.6,True,True
RamiKrispin/USgrid,https://github.com/RamiKrispin/USgrid,25,2021-05-26T12:03:11Z,19787,,extension:Rmd,0,0,0.0,False,False
SBOHVM/RPiR,https://github.com/SBOHVM/RPiR,12,2022-12-20T01:42:17Z,60588,course;programming;r;tutorial,extension:Rmd,62,12,19.4,True,True
SISBID/Data-Visualization,https://github.com/SISBID/Data-Visualization,26,2017-07-17T15:32:10Z,230671,,extension:Rmd,0,0,0.0,False,False
SISBID/Data-Wrangling,https://github.com/SISBID/Data-Wrangling,65,2025-08-11T15:20:20Z,115173,data-science;data-wrangling;r-programming;r-stats;workshop,extension:Rmd,58,10,17.2,True,True
SLCLADAL/SLCLADAL.github.io,https://github.com/SLCLADAL/SLCLADAL.github.io,14,2025-01-29T23:14:26Z,789882,,filename:_site.yml,343,24,7.0,True,True
SOCR/TCIU,https://github.com/SOCR/TCIU,11,2023-02-27T20:27:26Z,245699,,extension:Rmd,3,0,0.0,True,False
SaskiaFreytag/spatial_brain_cancer,https://github.com/SaskiaFreytag/spatial_brain_cancer,14,2023-09-16T16:43:27Z,27512,,extension:Rmd,0,0,0.0,False,False
SciML/diffeqr,https://github.com/SciML/diffeqr,147,2025-09-05T07:17:43Z,12202,dae;dde;delay-differential-equations;differential-algebraic-equations;differential-equations;ode;ordinary-differential-equations;scientific-machine-learning;sciml;sde;stochastic-differential-equations,extension:Rmd,9,3,33.3,True,False
Single-Cell-Genomics-Group-CNAG-CRG/TonsilAtlas,https://github.com/Single-Cell-Genomics-Group-CNAG-CRG/TonsilAtlas,32,2025-01-08T14:06:38Z,417458,,extension:Rmd,9,1,11.1,True,False
SuperMarioGiacomazzo/STOR320_WEBSITE,https://github.com/SuperMarioGiacomazzo/STOR320_WEBSITE,15,2025-07-22T12:52:40Z,70740,,extension:Rmd,140,0,0.0,True,False
Triangle-Modeling-and-Analytics/TRMG2,https://github.com/Triangle-Modeling-and-Analytics/TRMG2,13,2025-10-21T19:53:41Z,0,,filename:_site.yml,487,40,8.2,True,True
UC-MACSS/persp-analysis,https://github.com/UC-MACSS/persp-analysis,49,2018-08-24T12:04:43Z,4276,,extension:Rmd,0,0,0.0,False,False
WinVector/Examples,https://github.com/WinVector/Examples,184,2025-09-09T02:53:42Z,102036,,extension:Rmd,47,3,6.4,True,False
WinVector/vtreat,https://github.com/WinVector/vtreat,286,2025-01-09T22:21:41Z,410319,categorical-variables;machine-learning-algorithms;nested-models;prepare-data;r,extension:Rmd,1,0,0.0,True,False
XiangyunHuang/notesdown,https://github.com/XiangyunHuang/notesdown,77,2023-08-13T02:48:55Z,42683,bookdown,extension:Rmd,42,2,4.8,True,False
XueyiDong/LongReadBenchmark,https://github.com/XueyiDong/LongReadBenchmark,27,2025-02-17T00:40:48Z,220540,,extension:Rmd,100,5,5.0,True,True
Zen-Reportz/zen_knit,https://github.com/Zen-Reportz/zen_knit,37,2022-04-30T17:22:23Z,0,business-analytics;html-report;markdown-report;pdf-reports;programmable-report;python;reporting-tool;reports,extension:Rmd,37,1,2.7,True,False
aaronpeikert/reproducible-research,https://github.com/aaronpeikert/reproducible-research,131,2022-03-31T12:32:12Z,4361,containerization;dependency-management;literate-programming;open-science;r;reproducibility;version-management,extension:Rmd,0,0,0.0,False,False
achubaty/datawranglR,https://github.com/achubaty/datawranglR,13,2014-02-11T20:55:33Z,2687,,extension:Rmd,0,0,0.0,False,False
ajrgodfrey/BrailleR,https://github.com/ajrgodfrey/BrailleR,124,2025-09-10T08:36:03Z,330187,,extension:Rmd,90,21,23.3,True,True
allisonhorst/palmerpenguins,https://github.com/allisonhorst/palmerpenguins,978,2024-09-19T22:20:38Z,9178,,extension:Rmd,8,2,25.0,True,False
andreamazzella/IntRo,https://github.com/andreamazzella/IntRo,12,2025-05-06T15:59:07Z,12178,data-analysis;data-science;markdown;r;tidyverse,extension:Rmd,38,6,15.8,True,True
andrewheiss/evalsp20.classes.andrewheiss.com,https://github.com/andrewheiss/evalsp20.classes.andrewheiss.com,24,2020-05-10T07:01:43Z,24737,academic;blogdown;causal-inference;course;r,extension:Rmd,0,0,0.0,False,False
andrewheiss/evalsp23.classes.andrewheiss.com,https://github.com/andrewheiss/evalsp23.classes.andrewheiss.com,23,2023-10-10T17:26:29Z,76769,causal-inference;program-evaluation;quarto;r;teaching-materials,extension:Rmd,0,0,0.0,False,False
andrewmarx/samc,https://github.com/andrewmarx/samc,14,2025-06-14T19:07:23Z,213231,absorbing-markov-chains;connectivity;cran;landscape-ecology;landscape-metrics;markov-chain;r,extension:Rmd,109,20,18.3,True,True
andrewpbray/python-for-r-users,https://github.com/andrewpbray/python-for-r-users,10,2022-06-22T01:37:51Z,0,,extension:Rmd,3,0,0.0,True,False
annakrystalli/dataspice-tutorial,https://github.com/annakrystalli/dataspice-tutorial,12,2019-04-08T21:01:21Z,0,data-management;json-ld;metadata;r;schema-org;tutorial,extension:Rmd,0,0,0.0,False,False
annakrystalli/rrtools-repro-research,https://github.com/annakrystalli/rrtools-repro-research,17,2019-11-30T14:45:05Z,393,reproducible-research;research-compendium;rrtools;rstats;workshop-website,filename:_site.yml,0,0,0.0,False,False
asbates/bayes-time-series,https://github.com/asbates/bayes-time-series,27,2018-12-14T01:48:35Z,6428,,extension:Rmd,0,0,0.0,False,False
atsa-es/atsa,https://github.com/atsa-es/atsa,18,2025-06-03T20:59:47Z,152849,ecological-modelling;statistics;time-series,extension:Rmd,4,2,50.0,True,False
batermj/data_sciences_campaign,https://github.com/batermj/data_sciences_campaign,102,2025-03-15T06:17:53Z,582,algorithm-analysis;algorithm-challenges;algorithm-visualisation;algorithms;architectural-patterns;architecture-visualization;architectures;artificial-intelligence;automatic-machine-learning;automation;data-science;design-patterns;foundation-framework;machine-learning-algorithms;mathematical-statistics;mathematics;product-design;robotics;startup;system-architecture,extension:Rmd,393,0,0.0,True,False
bcgov/CCISS_ShinyApp,https://github.com/bcgov/CCISS_ShinyApp,18,2025-09-11T22:41:14Z,652272,flnr;shinyapps,extension:Rmd,28,5,17.9,True,True
bcgov/bcmaps,https://github.com/bcgov/bcmaps,74,2025-05-02T18:03:31Z,93642,data-science;env;r;r-package;rstats,extension:Rmd,35,2,5.7,True,False
beatrizmilz/materiais_estudo_R,https://github.com/beatrizmilz/materiais_estudo_R,175,2021-11-13T14:10:08Z,3506,hacktoberfest;r,filename:_site.yml,0,0,0.0,False,False
beryllium/beautifulphp,https://github.com/beryllium/beautifulphp,19,2021-12-09T08:44:13Z,0,,filename:_site.yml,0,0,0.0,False,False
bioinformatics-core-shared-training/cruk-summer-school-2017,https://github.com/bioinformatics-core-shared-training/cruk-summer-school-2017,15,2018-01-21T16:18:38Z,24423,,extension:Rmd,0,0,0.0,False,False
bioinformatics-core-shared-training/microarray-analysis,https://github.com/bioinformatics-core-shared-training/microarray-analysis,54,2017-02-21T09:01:23Z,5914,analysis;bioconductor;microarray-data;r-language,extension:Rmd,0,0,0.0,False,False
biol-4800/reproducibleResearch,https://github.com/biol-4800/reproducibleResearch,21,2020-12-12T18:17:06Z,0,,extension:Rmd,0,0,0.0,False,False
biol607/biol607.github.io,https://github.com/biol607/biol607.github.io,18,2025-04-25T18:46:06Z,243252,education;rstats;teaching,extension:Rmd,141,23,16.3,True,True
bnosac/RDRPOSTagger,https://github.com/bnosac/RDRPOSTagger,35,2017-08-03T17:19:16Z,25580,java;multi-language;natural-language-processing;nlp;pos;pos-tagging;r;r-package;tagging,extension:Rmd,0,0,0.0,False,False
bubifengyun/deepin-bible,https://github.com/bubifengyun/deepin-bible,64,2022-09-05T09:32:25Z,3877,,extension:Rmd,7,0,0.0,True,False
califano-lab/PISCES,https://github.com/califano-lab/PISCES,84,2022-12-15T17:35:08Z,102864,,extension:Rmd,18,6,33.3,True,False
cancer-genomics/reproduce_lucas_wflow,https://github.com/cancer-genomics/reproduce_lucas_wflow,31,2024-03-05T22:03:18Z,289164,,extension:Rmd,0,0,0.0,False,False
cbailiss/basictabler,https://github.com/cbailiss/basictabler,36,2025-04-26T14:06:29Z,727922,html;htmlwidget;r;tables;visualization,extension:Rmd,0,0,0.0,False,False
cboettig/contentid,https://github.com/cboettig/contentid,46,2025-01-21T19:10:13Z,91916,,extension:Rmd,10,2,20.0,True,False
cboettig/nonparametric-bayes,https://github.com/cboettig/nonparametric-bayes,46,2020-03-20T14:20:12Z,178056,manuscript;r;reproducible-research;research-compendium,extension:Rmd,0,0,0.0,False,False
chabefer/STCI,https://github.com/chabefer/STCI,40,2025-03-21T18:21:32Z,0,,extension:Rmd,24,1,4.2,True,False
chapter-three/next-drupal,https://github.com/chapter-three/next-drupal,693,2025-02-11T21:32:26Z,0,decoupled;drupal;drupal-modules;graphql;headless;headless-cms;jsonapi;next-plugin;nextjs,filename:_site.yml,485,141,29.1,True,True
chris-prener/areal,https://github.com/chris-prener/areal,94,2022-05-31T00:49:53Z,97600,,extension:Rmd,19,2,10.5,True,False
chrisdev/wagtail-cookiecutter-foundation,https://github.com/chrisdev/wagtail-cookiecutter-foundation,164,2024-12-04T17:05:19Z,0,,filename:_site.yml,9,2,22.2,True,False
cnicault/tidytuesday,https://github.com/cnicault/tidytuesday,215,2023-10-14T16:20:20Z,119972,,extension:Rmd,9,0,0.0,True,False
compsocialscience/summer-institute,https://github.com/compsocialscience/summer-institute,360,2025-10-08T22:25:19Z,56914,,extension:Rmd,2734,137,5.0,True,True
coolbutuseless/ggrgl,https://github.com/coolbutuseless/ggrgl,195,2020-12-21T20:00:16Z,143404,,extension:Rmd,0,0,0.0,False,False
cpsievert/plotly_book,https://github.com/cpsievert/plotly_book,185,2024-01-03T22:59:32Z,36160,,extension:Rmd,0,0,0.0,False,False
cxli233/FriendsDontLetFriends,https://github.com/cxli233/FriendsDontLetFriends,6895,2025-09-03T15:32:50Z,5951,data-visualization;r,extension:Rmd,63,12,19.0,True,True
cytoscape/cytoscape-automation,https://github.com/cytoscape/cytoscape-automation,88,2025-02-19T07:21:50Z,33449,,filename:_site.yml,28,3,10.7,True,False
czbiohub-sf/tabula-muris,https://github.com/czbiohub-sf/tabula-muris,193,2023-03-16T00:20:39Z,174745,,extension:Rmd,0,0,0.0,False,False
danielcoral/SOPHIA_Cross_Sectional,https://github.com/danielcoral/SOPHIA_Cross_Sectional,13,2024-08-21T11:37:18Z,62409,,extension:Rmd,0,0,0.0,False,False
datacarpentry/R-ecology-lesson,https://github.com/datacarpentry/R-ecology-lesson,324,2025-10-21T00:15:06Z,44049,carpentries;data-carpentry;data-visualisation;data-visualization;data-wrangling;ecology;english;lesson;open-educational-resources;r;stable,extension:Rmd,22,8,36.4,True,False
datalorax/equatiomatic,https://github.com/datalorax/equatiomatic,624,2025-09-18T13:11:51Z,196413,,extension:Rmd,18,3,16.7,True,False
datastorm-open/shinymanager,https://github.com/datastorm-open/shinymanager,399,2025-09-05T10:39:49Z,260238,r;shiny;shiny-server;shinyapps,extension:Rmd,22,3,13.6,True,False
datastorm-open/tuto_shiny_rennes,https://github.com/datastorm-open/tuto_shiny_rennes,10,2025-01-29T14:22:15Z,28236,,extension:Rmd,0,0,0.0,False,False
davidchall/jinjar,https://github.com/davidchall/jinjar,52,2025-03-13T13:54:04Z,26824,jinja;r;template-engine,extension:Rmd,35,3,8.6,True,False
daviddalpiaz/appliedstats,https://github.com/daviddalpiaz/appliedstats,166,2024-11-18T15:08:55Z,501,applied-statistics;book;bookdown;linear-models;probability;r;statistics;textbook,extension:Rmd,67,25,37.3,True,True
dfo-mar-odis/shinySpatialApp,https://github.com/dfo-mar-odis/shinySpatialApp,10,2024-08-06T19:04:09Z,252539,,extension:Rmd,448,84,18.8,True,True
dgarcia-eu/SocialMediaDataAnalysis,https://github.com/dgarcia-eu/SocialMediaDataAnalysis,11,2025-10-13T14:55:19Z,0,,extension:Rmd,0,0,0.0,False,False
dgrtwo/data-screencasts,https://github.com/dgrtwo/data-screencasts,384,2022-12-07T02:14:27Z,12970,,extension:Rmd,6,0,0.0,True,False
dickoa/rhdx,https://github.com/dickoa/rhdx,26,2021-10-13T09:09:59Z,92971,ckan;hdx;humdata;opendata;r,extension:Rmd,0,0,0.0,False,False
dravetech/network-tutorials,https://github.com/dravetech/network-tutorials,39,2017-01-28T10:09:48Z,0,,filename:_site.yml,0,0,0.0,False,False
dtkaplan/Statistical-Modeling-A-Fresh-Approach,https://github.com/dtkaplan/Statistical-Modeling-A-Fresh-Approach,12,2013-05-06T22:08:08Z,45629,,extension:Rmd,0,0,0.0,False,False
dwulff/text2sdg,https://github.com/dwulff/text2sdg,22,2025-09-08T15:50:12Z,65300,natural-language-processing;sustainability;sustainable-development;sustainable-development-goals,extension:Rmd,19,2,10.5,True,False
easystats/effectsize,https://github.com/easystats/effectsize,349,2025-10-20T11:28:42Z,494640,anova;cohens-d;compute;conversion;correlation;effect-size;effectsize;hacktoberfest;hedges-g;interpretation;r;standardization;standardized;statistics,extension:Rmd,241,66,27.4,True,True
easystats/parameters,https://github.com/easystats/parameters,477,2025-10-15T15:21:59Z,1629090,beta;bootstrap;ci;confidence-intervals;data-reduction;easystats;fa;feature-extraction;feature-reduction;hacktoberfest;parameters;pca;pvalues;r;r-package;regression-models;robust-statistics;standardize;standardized-estimates;statistical-models,extension:Rmd,1023,216,21.1,True,True
ecmerkle/blavaan,https://github.com/ecmerkle/blavaan,96,2025-10-24T02:36:44Z,528059,bayesian-statistics;cran;factor-analysis;growth-curve-models;latent-variables;missing-data;multilevel-models;multivariate-analysis;path-analysis;psychometrics;statistical-modeling;structural-equation-modeling,extension:Rmd,154,30,19.5,True,True
eco4cast/NEON-forecast-challenge-workshop,https://github.com/eco4cast/NEON-forecast-challenge-workshop,13,2025-05-28T16:51:51Z,7722,,extension:Rmd,75,2,2.7,True,False
ekholme/TidyTuesday,https://github.com/ekholme/TidyTuesday,25,2025-03-17T19:56:40Z,84015,,extension:Rmd,1,0,0.0,True,False
ekstroem/dataMaid,https://github.com/ekstroem/dataMaid,143,2025-04-13T18:58:23Z,293644,data-cleaning;data-screening;reproducible-research,extension:Rmd,1,0,0.0,True,False
ellis/roboliq,https://github.com/ellis/roboliq,12,2018-06-19T06:12:08Z,25786,,extension:Rmd,0,0,0.0,False,False
emptyfield-ds/teaching_warehouse,https://github.com/emptyfield-ds/teaching_warehouse,16,2025-10-02T19:44:40Z,201051,,extension:Rmd,36,5,13.9,True,True
epiforecasts/EpiNow,https://github.com/epiforecasts/EpiNow,33,2023-02-02T00:57:31Z,171257,,extension:Rmd,0,0,0.0,False,False
epiverse-trace/cfr,https://github.com/epiverse-trace/cfr,15,2025-08-15T09:30:29Z,85042,case-fatality-rate;epidemic-modelling;epidemiology;epiverse;health-outcomes;outbreak-analysis;r;r-package;sdg-3,extension:Rmd,18,0,0.0,True,False
epiverse-trace/simulist,https://github.com/epiverse-trace/simulist,10,2025-08-28T12:05:35Z,171113,epidemiology;epiverse;linelist;outbreaks;r;r-package,extension:Rmd,0,0,0.0,False,False
eric-pedersen/mgcv-esa-workshop,https://github.com/eric-pedersen/mgcv-esa-workshop,49,2024-02-22T10:20:32Z,6255,,extension:Rmd,0,0,0.0,False,False
ernbilen/Data180-1_Fall22,https://github.com/ernbilen/Data180-1_Fall22,17,2023-07-05T17:31:37Z,15264,,extension:Rmd,119,1,0.8,True,False
ernbilen/Data180-2_Fall22,https://github.com/ernbilen/Data180-2_Fall22,19,2023-07-05T17:31:53Z,15265,,extension:Rmd,97,1,1.0,True,False
eventoseroficial/Data_and_Code_2021,https://github.com/eventoseroficial/Data_and_Code_2021,21,2021-06-10T23:48:02Z,113255,,extension:Rmd,0,0,0.0,False,False
famuvie/breedR,https://github.com/famuvie/breedR,35,2024-08-03T14:39:08Z,457693,,extension:Rmd,0,0,0.0,False,False
fishglob/FishGlob_data,https://github.com/fishglob/FishGlob_data,24,2025-10-01T21:16:43Z,558775,,extension:Rmd,45,2,4.4,True,False
fonnesbeck/Bios6301,https://github.com/fonnesbeck/Bios6301,81,2018-11-13T16:20:14Z,58810,,extension:Rmd,0,0,0.0,False,False
forwards/workshops,https://github.com/forwards/workshops,45,2023-12-08T17:42:41Z,28511,,extension:Rmd,1,0,0.0,True,False
frictionlessdata/datapackage-r,https://github.com/frictionlessdata/datapackage-r,42,2021-12-22T11:47:11Z,150023,,extension:Rmd,0,0,0.0,False,False
gaynorr/AlphaSimR,https://github.com/gaynorr/AlphaSimR,56,2025-10-17T11:46:24Z,434777,breeding;cran;genomics;r;r-package;simulation,extension:Rmd,76,16,21.1,True,True
geanders/RProgrammingForResearch,https://github.com/geanders/RProgrammingForResearch,76,2025-08-25T19:02:41Z,17313,,extension:Rmd,10,0,0.0,True,False
grunwaldlab/Population_Genetics_in_R,https://github.com/grunwaldlab/Population_Genetics_in_R,88,2021-02-11T00:14:35Z,13887,,filename:_site.yml,0,0,0.0,False,False
holtzy/Pimp-my-rmd,https://github.com/holtzy/Pimp-my-rmd,113,2022-02-22T09:49:06Z,0,,extension:Rmd,0,0,0.0,False,False
holtzy/R-graph-gallery,https://github.com/holtzy/R-graph-gallery,719,2025-10-07T07:09:29Z,327257,,extension:Rmd,17,1,5.9,True,False
holtzy/data_to_viz,https://github.com/holtzy/data_to_viz,1063,2024-10-18T12:47:13Z,231,,extension:Rmd,11,1,9.1,True,False
hyunjimoon/SBC,https://github.com/hyunjimoon/SBC,62,2025-09-17T15:05:44Z,311827,diagnostics;simulation-based-inference,extension:Rmd,74,13,17.6,True,True
info340/book,https://github.com/info340/book,52,2025-03-10T22:48:48Z,8281,,extension:Rmd,24,10,41.7,True,True
jandecaluwe/urubu,https://github.com/jandecaluwe/urubu,180,2024-12-30T13:51:55Z,0,,filename:_site.yml,5,1,20.0,True,False
jandix/rzeit,https://github.com/jandix/rzeit,10,2018-08-11T13:05:52Z,27052,,extension:Rmd,0,0,0.0,False,False
jayelm/hoff-bayesian-statistics,https://github.com/jayelm/hoff-bayesian-statistics,129,2019-10-19T00:32:39Z,8783,bayesian-statistics;rmarkdown,extension:Rmd,0,0,0.0,False,False
jbkunst/highcharter,https://github.com/jbkunst/highcharter,735,2025-05-29T17:32:20Z,509111,cran;highcharts;htmlwidgets;r;rstats;shiny;shiny-r;visualization;wrapper,extension:Rmd,120,1,0.8,True,False
jeffsocal/tidyproteomics,https://github.com/jeffsocal/tidyproteomics,47,2025-06-10T20:26:48Z,313289,,extension:Rmd,11,4,36.4,True,False
jennybc/purrr-tutorial,https://github.com/jennybc/purrr-tutorial,115,2019-10-21T20:18:28Z,10400,,filename:_site.yml,0,0,0.0,False,False
jkubajek/News_Selector,https://github.com/jkubajek/News_Selector,11,2024-05-06T09:57:18Z,98876,,extension:Rmd,0,0,0.0,False,False
jmonlong/Hippocamplus,https://github.com/jmonlong/Hippocamplus,30,2025-08-19T12:36:54Z,963,,extension:Rmd,15,2,13.3,True,False
jooyoungseo/jy_CV,https://github.com/jooyoungseo/jy_CV,38,2025-10-06T19:03:18Z,0,,extension:Rmd,2,0,0.0,True,False
jsanchezalv/WARDEN,https://github.com/jsanchezalv/WARDEN,10,2025-10-08T08:43:59Z,428729,,extension:Rmd,2,1,50.0,True,False
jtr13/cc19,https://github.com/jtr13/cc19,13,2021-03-07T14:47:12Z,3404,,extension:Rmd,0,0,0.0,False,False
kalimu/genderizeR,https://github.com/kalimu/genderizeR,61,2022-03-07T12:10:04Z,51386,,extension:Rmd,0,0,0.0,False,False
kasaai/deeptriangle,https://github.com/kasaai/deeptriangle,46,2019-09-16T23:46:11Z,23217,actuarial-science;deep-learning;insurance;rstats,extension:Rmd,0,0,0.0,False,False
kassambara/rstatix,https://github.com/kassambara/rstatix,469,2025-10-20T10:08:26Z,354051,,extension:Rmd,13,2,15.4,True,False
kaustavSen/tidytuesday,https://github.com/kaustavSen/tidytuesday,31,2022-08-21T06:38:25Z,184221,,extension:Rmd,16,0,0.0,True,False
keisemi/EconometriciansGuide_CausalInference,https://github.com/keisemi/EconometriciansGuide_CausalInference,32,2025-01-20T03:30:12Z,29395,,extension:Rmd,0,0,0.0,False,False
keithmcnulty/peopleanalytics-regression-book,https://github.com/keithmcnulty/peopleanalytics-regression-book,166,2025-07-28T20:47:30Z,3248,,extension:Rmd,5,0,0.0,True,False
kforner/srcpkgs,https://github.com/kforner/srcpkgs,13,2025-10-20T09:35:38Z,149480,,extension:Rmd,0,0,0.0,False,False
kimpenn/PIVOT,https://github.com/kimpenn/PIVOT,27,2020-06-09T15:01:48Z,738605,,extension:Rmd,0,0,0.0,False,False
kjhealy/covdata,https://github.com/kjhealy/covdata,83,2023-01-22T20:40:12Z,109723,,extension:Rmd,2,1,50.0,True,False
laboratoriolide/new-dimensions-materiales,https://github.com/laboratoriolide/new-dimensions-materiales,14,2023-10-19T01:27:02Z,25163,business-inteligence;data-analytics;excel;new-dimensions;power-bi;python;r;sql;statistics,extension:Rmd,0,0,0.0,False,False
